"","start_temp","outside_temp","SA_temp","rate"
"1",21.2,12.3,25,-0.0266666666666666
"2",20.8,12.1,25.7,-0.12
"3",19,12.1,23.8,-0.113333333333333
"4",17.3,11.6,21.1,-0.0733333333333334
"5",16.2,11.5,19.5,-0.0466666666666666
"6",15.5,11.5,18.5,-0.0333333333333333
"7",15,11.3,17.7,-0.0266666666666667
"8",14.6,11.1,17.2,-0.0199999999999999
"9",14.3,11.1,16.7,-0.0133333333333334
"11",14.1,11.2,15.9,-0.00666666666666664
"12",14,11,15.6,-0.02
"14",13.7,11.1,15,-0.00666666666666664
"17",13.6,11.2,14.2,-0.00666666666666664
"18",13.5,11.2,14,-0.00666666666666664
"20",13.4,10.9,13.6,-0.00666666666666664
"26",13.3,10.9,12.9,-0.00666666666666676
"28",13.2,10.9,12.8,-0.00666666666666664
"30",13.1,10.5,12.6,-0.00666666666666664
"31",13,10.7,12.6,-0.00666666666666664
"34",12.9,10.7,12.4,0.00666666666666664
"36",13,10.8,12.5,-0.00666666666666664
"38",12.9,10.5,12.4,-0.00666666666666664
"40",12.8,10.6,12.3,-0.00666666666666676
"41",21.1,10.8,24.2,-0.193333333333333
"42",18.2,10.4,22.4,-0.12
"43",16.4,10,20.5,-0.0733333333333332
"44",15.3,10.2,18.9,-0.0466666666666667
"45",14.6,10,17.9,-0.0333333333333333
"46",14.1,10.3,17.2,-0.0266666666666667
"47",13.7,10.2,16.6,-0.0133333333333333
"48",13.5,9.9,16,-0.0133333333333333
"49",13.3,9.2,15.6,-0.0133333333333334
"50",13.1,9.4,15.2,-0.0133333333333333
"51",12.9,9.5,14.8,-0.0133333333333334
"53",12.7,9.1,14.3,-0.00666666666666664
"54",12.6,9.3,13.8,-0.00666666666666664
"55",12.5,9.1,13.5,-0.00666666666666664
"56",12.4,8.9,13.2,-0.00666666666666664
"58",12.3,8.9,12.9,-0.00666666666666676
"59",12.2,8.7,12.6,-0.00666666666666664
"60",12.1,8.8,12.3,-0.00666666666666664
"61",12,8.7,12.1,-0.00666666666666664
"62",11.9,8.6,11.9,-0.00666666666666664
"63",11.8,8.4,11.7,-0.00666666666666676
"64",21,7.9,25.2,-0.22
"65",17.7,8.1,23.8,-0.146666666666667
"66",15.5,7.6,20.1,-0.0933333333333334
"67",14.1,7.5,18,-0.0533333333333333
"68",13.3,7.9,16.7,-0.0400000000000001
"69",12.7,7.8,15.9,-0.0333333333333333
"70",12.2,7.5,15.2,-0.0199999999999999
"71",11.9,7.5,14.6,-0.02
"72",11.6,7.5,14.2,-0.00666666666666664
"73",11.5,7.5,13.7,-0.02
"74",11.2,7,13.3,-0.00666666666666664
"75",11.1,6.8,12.9,-0.00666666666666664
"76",11,6.7,12.7,-0.0133333333333333
"78",10.8,6.5,12.1,-0.00666666666666676
"80",10.7,6.5,11.7,-0.00666666666666664
"81",10.6,6.2,11.5,-0.00666666666666664
"82",10.5,6.1,11.4,-0.0133333333333333
"83",10.3,5.7,11.2,-0.02
"84",10,5.5,11.1,-0.00666666666666664
"85",9.9,4.9,10.8,-0.0133333333333334
"86",9.7,4.7,10.5,-0.0133333333333333
"87",9.5,4.7,10.3,-0.00666666666666664
"88",9.4,5,10.1,-0.0133333333333334
"89",9.2,5,10,-0.00666666666666664
"90",9.1,5.3,9.8,-0.0133333333333333
"93",8.9,5.2,9.3,-0.00666666666666664
"94",8.8,5.1,9.1,-0.00666666666666676
"95",8.7,5.3,9,0.00666666666666676
"96",8.8,5.5,8.8,-0.00666666666666676
"98",21.2,12.3,23.1,-0.02
"99",20.9,12.4,25.3,-0.16
"100",18.5,12.3,24.4,-0.1
"101",17,12.3,21.4,-0.0666666666666667
"102",16,12.2,19.7,-0.04
"103",15.4,12.3,18.7,-0.0333333333333333
"104",14.9,12.2,17.9,-0.0133333333333334
"105",14.7,12,17.4,-0.0199999999999999
"106",14.4,12.2,16.8,-0.02
"107",14.1,12,16.5,-0.00666666666666664
"108",14,11.7,16.1,-0.00666666666666664
"109",13.9,11.5,15.9,-0.0133333333333334
"110",13.7,11.4,15.6,-0.0133333333333333
"111",13.5,11,15.3,-0.0133333333333333
"112",13.3,11.1,15.2,-0.00666666666666676
"113",13.2,10.9,14.9,-0.00666666666666664
"115",13.1,11.4,14.3,-0.00666666666666664
"117",13,11,13.7,-0.00666666666666664
"118",12.9,11,13.5,-0.00666666666666664
"119",12.8,10.9,13.3,-0.00666666666666676
"120",12.7,11,13.1,0.00666666666666676
"121",12.8,10.9,12.9,-0.00666666666666676
"127",12.7,12.2,12.3,0.00666666666666676
"131",21,13.5,25.4,-0.126666666666667
"132",19.1,13.5,24.8,-0.0933333333333335
"133",17.7,13.5,22.1,-0.0533333333333334
"134",16.9,13.5,20.3,-0.0399999999999999
"135",16.3,13.3,19.4,-0.0333333333333333
"136",15.8,13.3,18.7,-0.0133333333333334
"137",15.6,13.2,18.1,-0.0199999999999999
"138",15.3,13.3,17.6,-0.00666666666666676
"139",15.2,13.2,17.3,-0.0133333333333333
"140",15,13.1,16.9,-0.00666666666666664
"141",14.9,13.3,16.6,-0.00666666666666664
"145",14.8,12.9,15.5,-0.00666666666666676
"146",14.7,13,15.3,-0.00666666666666664
"148",14.6,13,14.9,-0.00666666666666664
"150",14.5,13.2,14.5,-0.00666666666666664
"152",14.4,13.1,14.3,-0.00666666666666664
"154",14.3,13,14.1,-0.00666666666666676
"155",14.2,13.1,14,0.00666666666666676
"156",14.3,12.9,14,-0.00666666666666676
"157",14.2,12.8,13.9,-0.00666666666666664
"161",14.1,12.5,13.7,-0.00666666666666664
"164",14,12.2,13.5,-0.00666666666666664
"165",13.9,12.2,13.4,-0.00666666666666664
"169",13.8,11.8,13.2,-0.00666666666666676
"172",13.7,11.6,13,-0.00666666666666664
"174",13.6,11.3,13,-0.00666666666666664
"177",13.5,11.6,12.9,-0.00666666666666664
"181",21.2,11.7,22.1,-0.166666666666667
"182",18.7,11.6,21.8,-0.113333333333333
"183",17,11.3,20.6,-0.0866666666666667
"184",15.7,11,19.3,-0.0466666666666666
"185",15,10.8,18.2,-0.0333333333333333
"186",14.5,10.6,17.4,-0.02
"187",14.2,10.5,16.8,-0.0133333333333333
"188",14,10.4,16.4,-0.02
