Date/Time,AC_1.4Status,AC_1.4TempSP,AC_1.4Temp,Bld81_RoofOATemp
1/02/2018 12:00:00 AM,On , 24.0, 22.1, 14.6
31/01/2018 11:45:00 PM,On , 24.0, 22.1, 14.7
31/01/2018 11:30:00 PM,On , 24.0, 22.4, 14.9
31/01/2018 11:15:00 PM,On , 24.0, 22.4, 15.1
31/01/2018 11:00:00 PM,On , 24.0, 22.4, 15.1
31/01/2018 10:45:00 PM,On , 24.0, 22.4, 15.3
31/01/2018 10:30:00 PM,On , 24.0, 22.4, 15.4
31/01/2018 10:15:00 PM,On , 24.0, 22.4, 15.5
31/01/2018 10:00:00 PM,On , 24.0, 22.8, 15.6
31/01/2018 9:45:00 PM,On , 24.0, 22.8, 15.9
31/01/2018 9:30:00 PM,On , 24.0, 23.2, 16.0
31/01/2018 9:15:00 PM,On , 24.0, 23.2, 16.0
31/01/2018 9:00:00 PM,On , 24.0, 23.2, 16.4
31/01/2018 8:45:00 PM,On , 24.0, 23.2, 16.4
31/01/2018 8:30:00 PM,On , 24.0, 23.2, 16.5
31/01/2018 8:15:00 PM,On , 24.0, 23.6, 16.7
31/01/2018 8:00:00 PM,On , 24.0, 23.6, 17.2
31/01/2018 7:45:00 PM,On , 24.0, 23.6, 17.0
31/01/2018 7:30:00 PM,On , 24.0, 23.6, 17.3
31/01/2018 7:15:00 PM,On , 24.0, 23.6, 17.8
31/01/2018 7:00:00 PM,On , 24.0, 23.6, 17.5
31/01/2018 6:45:00 PM,On , 24.0, 23.6, 17.8
31/01/2018 6:30:00 PM,On , 24.0, 24.0, 18.2
31/01/2018 6:15:00 PM,On , 24.0, 24.0, 18.2
31/01/2018 6:00:00 PM,On , 24.0, 24.0, 18.7
31/01/2018 5:45:00 PM,On , 24.0, 24.0, 18.8
31/01/2018 5:30:00 PM,On , 24.0, 24.0, 18.7
31/01/2018 5:15:00 PM,On , 24.0, 24.0, 20.0
31/01/2018 5:00:00 PM,On , 24.0, 24.0, 19.6
31/01/2018 4:45:00 PM,On , 24.0, 24.0, 20.2
31/01/2018 4:30:00 PM,On , 24.0, 24.4, 21.1
31/01/2018 4:15:00 PM,On , 24.0, 24.4, 21.3
31/01/2018 4:00:00 PM,On , 24.0, 24.0, 19.7
31/01/2018 3:45:00 PM,On , 24.0, 24.0, 19.3
31/01/2018 3:30:00 PM,On , 24.0, 24.0, 20.4
31/01/2018 3:15:00 PM,On , 24.0, 24.0, 20.7
31/01/2018 3:00:00 PM,On , 24.0, 24.0, 20.5
31/01/2018 2:45:00 PM,On , 24.0, 24.0, 20.1
31/01/2018 2:30:00 PM,On , 24.0, 24.0, 21.0
31/01/2018 2:15:00 PM,On , 24.0, 24.0, 21.2
31/01/2018 2:00:00 PM,On , 24.0, 24.0, 20.5
31/01/2018 1:45:00 PM,On , 24.0, 24.0, 20.8
31/01/2018 1:30:00 PM,On , 24.0, 24.0, 19.9
31/01/2018 1:15:00 PM,On , 24.0, 24.0, 20.4
31/01/2018 1:00:00 PM,On , 24.0, 24.0, 19.7
31/01/2018 12:45:00 PM,On , 24.0, 24.0, 21.0
31/01/2018 12:30:00 PM,On , 24.0, 24.0, 19.4
31/01/2018 12:15:00 PM,On , 24.0, 24.0, 19.8
31/01/2018 12:00:00 PM,On , 24.0, 24.0, 19.2
31/01/2018 11:45:00 AM,On , 24.0, 24.0, 18.2
31/01/2018 11:30:00 AM,On , 24.0, 24.0, 19.0
31/01/2018 11:15:00 AM,On , 24.0, 24.0, 19.0
31/01/2018 11:00:00 AM,On , 24.0, 23.6, 18.1
31/01/2018 10:45:00 AM,On , 24.0, 24.0, 18.8
31/01/2018 10:30:00 AM,On , 24.0, 24.0, 18.7
31/01/2018 10:15:00 AM,On , 24.0, 23.6, 18.2
31/01/2018 10:00:00 AM,On , 24.0, 23.6, 17.9
31/01/2018 9:45:00 AM,On , 24.0, 23.2, 17.8
31/01/2018 9:30:00 AM,On , 24.0, 23.2, 17.3
31/01/2018 9:15:00 AM,On , 24.0, 23.2, 17.1
31/01/2018 9:00:00 AM,On , 24.0, 23.2, 16.7
31/01/2018 8:45:00 AM,On , 24.0, 22.8, 16.4
31/01/2018 8:30:00 AM,On , 24.0, 22.8, 15.7
31/01/2018 8:15:00 AM,On , 24.0, 22.8, 16.4
31/01/2018 8:00:00 AM,On , 24.0, 22.8, 16.0
31/01/2018 7:45:00 AM,On , 24.0, 22.8, 16.0
31/01/2018 7:30:00 AM,On , 24.0, 22.8, 16.1
31/01/2018 7:15:00 AM,On , 24.0, 22.8, 16.0
31/01/2018 7:00:00 AM,On , 24.0, 22.4, 15.7
31/01/2018 6:45:00 AM,On , 24.0, 22.1, 15.8
31/01/2018 6:30:00 AM,On , 24.0, 22.1, 15.9
31/01/2018 6:15:00 AM,On , 24.0, 22.1, 15.7
31/01/2018 6:00:00 AM,On , 24.0, 21.7, 15.9
31/01/2018 5:45:00 AM,On , 24.0, 21.3, 15.8
31/01/2018 5:30:00 AM,On , 24.0, 21.3, 15.9
31/01/2018 5:15:00 AM,On , 24.0, 21.3, 16.0
31/01/2018 5:00:00 AM,On , 24.0, 21.3, 16.2
31/01/2018 4:45:00 AM,On , 24.0, 21.3, 16.0
31/01/2018 4:30:00 AM,On , 24.0, 21.3, 16.3
31/01/2018 4:15:00 AM,On , 24.0, 21.3, 15.9
31/01/2018 4:00:00 AM,On , 24.0, 21.3, 16.1
31/01/2018 3:45:00 AM,On , 24.0, 21.7, 16.2
31/01/2018 3:30:00 AM,On , 24.0, 21.7, 16.5
31/01/2018 3:15:00 AM,On , 24.0, 21.7, 16.3
31/01/2018 3:00:00 AM,On , 24.0, 21.7, 16.2
31/01/2018 2:45:00 AM,On , 24.0, 21.7, 16.3
31/01/2018 2:30:00 AM,On , 24.0, 21.7, 16.4
31/01/2018 2:15:00 AM,On , 24.0, 21.7, 16.5
31/01/2018 2:00:00 AM,On , 24.0, 22.1, 17.0
31/01/2018 1:45:00 AM,On , 24.0, 22.1, 16.8
31/01/2018 1:30:00 AM,On , 24.0, 22.1, 17.0
31/01/2018 1:15:00 AM,On , 24.0, 22.1, 16.9
31/01/2018 1:00:00 AM,On , 24.0, 22.1, 16.7
31/01/2018 12:45:00 AM,On , 24.0, 22.1, 16.6
31/01/2018 12:30:00 AM,On , 24.0, 22.1, 17.2
31/01/2018 12:15:00 AM,On , 24.0, 22.1, 16.8
31/01/2018 12:00:00 AM,On , 24.0, 22.1, 17.2
30/01/2018 11:45:00 PM,On , 24.0, 22.4, 17.1
30/01/2018 11:30:00 PM,On , 24.0, 22.4, 17.0
30/01/2018 11:15:00 PM,On , 24.0, 22.4, 17.3
30/01/2018 11:00:00 PM,On , 24.0, 22.4, 17.3
30/01/2018 10:45:00 PM,On , 24.0, 22.4, 17.3
30/01/2018 10:30:00 PM,On , 24.0, 22.4, 17.4
30/01/2018 10:15:00 PM,On , 24.0, 22.4, 17.3
30/01/2018 10:00:00 PM,On , 24.0, 22.8, 17.3
30/01/2018 9:45:00 PM,On , 24.0, 22.8, 17.1
30/01/2018 9:30:00 PM,On , 24.0, 22.8, 17.3
30/01/2018 9:15:00 PM,On , 24.0, 22.8, 17.4
30/01/2018 9:00:00 PM,On , 24.0, 22.8, 17.6
30/01/2018 8:45:00 PM,On , 24.0, 22.8, 17.7
30/01/2018 8:30:00 PM,On , 24.0, 22.8, 18.0
30/01/2018 8:15:00 PM,On , 24.0, 22.4, 18.2
30/01/2018 8:00:00 PM,On , 24.0, 22.4, 18.3
30/01/2018 7:45:00 PM,On , 24.0, 22.1, 18.4
30/01/2018 7:30:00 PM,On , 24.0, 22.4, 18.2
30/01/2018 7:15:00 PM,On , 24.0, 22.4, 18.7
30/01/2018 7:00:00 PM,On , 24.0, 22.8, 19.0
30/01/2018 6:45:00 PM,On , 24.0, 22.8, 19.0
30/01/2018 6:30:00 PM,On , 24.0, 22.8, 19.4
30/01/2018 6:15:00 PM,On , 24.0, 23.2, 19.7
30/01/2018 6:00:00 PM,On , 24.0, 23.2, 20.0
30/01/2018 5:45:00 PM,On , 24.0, 23.6, 20.2
30/01/2018 5:30:00 PM,On , 24.0, 23.6, 19.6
30/01/2018 5:15:00 PM,On , 24.0, 23.6, 19.9
30/01/2018 5:00:00 PM,On , 24.0, 23.6, 19.9
30/01/2018 4:45:00 PM,On , 24.0, 23.6, 20.2
30/01/2018 4:30:00 PM,On , 24.0, 23.6, 20.3
30/01/2018 4:15:00 PM,On , 24.0, 23.6, 20.1
30/01/2018 4:00:00 PM,On , 24.0, 23.2, 20.9
30/01/2018 3:45:00 PM,On , 24.0, 23.6, 20.4
30/01/2018 3:30:00 PM,On , 24.0, 24.0, 20.7
30/01/2018 3:15:00 PM,On , 24.0, 23.6, 21.3
30/01/2018 3:00:00 PM,On , 24.0, 24.0, 21.9
30/01/2018 2:45:00 PM,On , 24.0, 24.0, 22.1
30/01/2018 2:30:00 PM,On , 24.0, 24.0, 21.4
30/01/2018 2:15:00 PM,On , 24.0, 23.6, 21.2
30/01/2018 2:00:00 PM,On , 24.0, 23.6, 20.8
30/01/2018 1:45:00 PM,On , 24.0, 23.6, 19.8
30/01/2018 1:30:00 PM,On , 24.0, 23.6, 19.9
