Timestamp,Bld_64_DDC_1.1_Rm_Temp(°C)
01-Jan-18 12:00:00 am,20.1
02-Jan-18 12:00:00 am,20.5
03-Jan-18 12:00:00 am,20.5
04-Jan-18 12:00:00 am,20.3
05-Jan-18 12:00:00 am,20.7
06-Jan-18 12:00:00 am,21.9
07-Jan-18 12:00:00 am,21.8
08-Jan-18 12:00:00 am,21.8
09-Jan-18 12:00:00 am,21.3
10-Jan-18 12:00:00 am,21.3
11-Jan-18 12:00:00 am,20.9
12-Jan-18 12:00:00 am,21.6
13-Jan-18 12:00:00 am,19.7
14-Jan-18 12:00:00 am,17.9
15-Jan-18 12:00:00 am,20.0
16-Jan-18 12:00:00 am,20.1
17-Jan-18 12:00:00 am,20.9
18-Jan-18 12:00:00 am,21.2
19-Jan-18 12:00:00 am,21.8
20-Jan-18 12:00:00 am,21.9
21-Jan-18 12:00:00 am,23.1
22-Jan-18 12:00:00 am,21.6
23-Jan-18 12:00:00 am,21.3
24-Jan-18 12:00:00 am,21.1
25-Jan-18 12:00:00 am,21.0
26-Jan-18 12:00:00 am,21.2
27-Jan-18 12:00:00 am,21.8
28-Jan-18 12:00:00 am,24.7
29-Jan-18 12:00:00 am,23.6
30-Jan-18 12:00:00 am,21.0
31-Jan-18 12:00:00 am,20.5
01-Feb-18 12:00:00 am,19.8
02-Feb-18 12:00:00 am,20.4
03-Feb-18 12:00:00 am,20.8
04-Feb-18 12:00:00 am,21.3
05-Feb-18 12:00:00 am,21.1
06-Feb-18 12:00:00 am,21.5
07-Feb-18 12:00:00 am,21.7
08-Feb-18 12:00:00 am,23.1
09-Feb-18 12:00:00 am,25.4
10-Feb-18 12:00:00 am,24.5
11-Feb-18 12:00:00 am,20.8
12-Feb-18 12:00:00 am,21.7
13-Feb-18 12:00:00 am,22.8
14-Feb-18 12:00:00 am,23.0
15-Feb-18 12:00:00 am,21.5
16-Feb-18 12:00:00 am,20.7
17-Feb-18 12:00:00 am,20.5
18-Feb-18 12:00:00 am,20.8
19-Feb-18 12:00:00 am,21.0
20-Feb-18 12:00:00 am,20.8
21-Feb-18 12:00:00 am,21.0
22-Feb-18 12:00:00 am,21.4
23-Feb-18 12:00:00 am,21.3
24-Feb-18 12:00:00 am,21.7
25-Feb-18 12:00:00 am,20.0
26-Feb-18 12:00:00 am,20.3
27-Feb-18 12:00:00 am,21.4
28-Feb-18 12:00:00 am,21.3
01-Mar-18 12:00:00 am,20.6
02-Mar-18 12:00:00 am,20.7
03-Mar-18 12:00:00 am,20.6
04-Mar-18 12:00:00 am,19.8
05-Mar-18 12:00:00 am,20.6
06-Mar-18 12:00:00 am,20.9
07-Mar-18 12:00:00 am,21.4
08-Mar-18 12:00:00 am,21.9
09-Mar-18 12:00:00 am,22.1
10-Mar-18 12:00:00 am,21.7
11-Mar-18 12:00:00 am,21.8
12-Mar-18 12:00:00 am,21.2
13-Mar-18 12:00:00 am,21.2
14-Mar-18 12:00:00 am,21.0
15-Mar-18 12:00:00 am,21.1
16-Mar-18 12:00:00 am,20.8
17-Mar-18 12:00:00 am,21.8
18-Mar-18 12:00:00 am,21.6
19-Mar-18 12:00:00 am,20.7
20-Mar-18 12:00:00 am,20.8
21-Mar-18 12:00:00 am,20.5
