Timestamp,Bld_64_DDC_1.1_S.Air_Temp(°C)
01-Jan-18 12:00:00 am,20.9
02-Jan-18 12:00:00 am,20.7
03-Jan-18 12:00:00 am,20.7
04-Jan-18 12:00:00 am,20.3
05-Jan-18 12:00:00 am,20.2
06-Jan-18 12:00:00 am,21.9
07-Jan-18 12:00:00 am,23.1
08-Jan-18 12:00:00 am,22.1
09-Jan-18 12:00:00 am,22.1
10-Jan-18 12:00:00 am,21.4
11-Jan-18 12:00:00 am,20.4
12-Jan-18 12:00:00 am,21.5
13-Jan-18 12:00:00 am,20.4
14-Jan-18 12:00:00 am,17.7
15-Jan-18 12:00:00 am,20.4
16-Jan-18 12:00:00 am,21.1
17-Jan-18 12:00:00 am,21.4
18-Jan-18 12:00:00 am,20.1
19-Jan-18 12:00:00 am,20.8
20-Jan-18 12:00:00 am,21.7
21-Jan-18 12:00:00 am,24.4
22-Jan-18 12:00:00 am,20.7
23-Jan-18 12:00:00 am,21.5
24-Jan-18 12:00:00 am,21.1
25-Jan-18 12:00:00 am,20.5
26-Jan-18 12:00:00 am,20.8
27-Jan-18 12:00:00 am,22.3
28-Jan-18 12:00:00 am,27.4
29-Jan-18 12:00:00 am,22.5
30-Jan-18 12:00:00 am,20.7
31-Jan-18 12:00:00 am,20.5
01-Feb-18 12:00:00 am,20.3
02-Feb-18 12:00:00 am,20.6
03-Feb-18 12:00:00 am,21.9
04-Feb-18 12:00:00 am,22.6
05-Feb-18 12:00:00 am,20.6
06-Feb-18 12:00:00 am,21.8
07-Feb-18 12:00:00 am,21.6
08-Feb-18 12:00:00 am,23.3
09-Feb-18 12:00:00 am,26.2
10-Feb-18 12:00:00 am,26.1
11-Feb-18 12:00:00 am,20.9
12-Feb-18 12:00:00 am,22.2
13-Feb-18 12:00:00 am,23.9
14-Feb-18 12:00:00 am,23.5
15-Feb-18 12:00:00 am,21.9
16-Feb-18 12:00:00 am,20.8
17-Feb-18 12:00:00 am,20.9
18-Feb-18 12:00:00 am,21.9
19-Feb-18 12:00:00 am,20.4
20-Feb-18 12:00:00 am,20.3
21-Feb-18 12:00:00 am,20.4
22-Feb-18 12:00:00 am,20.2
23-Feb-18 12:00:00 am,20.4
24-Feb-18 12:00:00 am,21.6
25-Feb-18 12:00:00 am,20.0
26-Feb-18 12:00:00 am,18.2
27-Feb-18 12:00:00 am,20.2
28-Feb-18 12:00:00 am,19.3
01-Mar-18 12:00:00 am,19.1
02-Mar-18 12:00:00 am,19.9
03-Mar-18 12:00:00 am,20.9
04-Mar-18 12:00:00 am,19.8
05-Mar-18 12:00:00 am,19.8
06-Mar-18 12:00:00 am,20.5
07-Mar-18 12:00:00 am,21.1
08-Mar-18 12:00:00 am,21.3
09-Mar-18 12:00:00 am,21.6
10-Mar-18 12:00:00 am,21.7
11-Mar-18 12:00:00 am,22.4
12-Mar-18 12:00:00 am,20.8
13-Mar-18 12:00:00 am,20.9
14-Mar-18 12:00:00 am,21.2
15-Mar-18 12:00:00 am,21.1
16-Mar-18 12:00:00 am,21.0
17-Mar-18 12:00:00 am,22.0
18-Mar-18 12:00:00 am,21.8
19-Mar-18 12:00:00 am,19.9
20-Mar-18 12:00:00 am,20.7
21-Mar-18 12:00:00 am,20.3
22-Mar-18 12:00:00 am,20.9
23-Mar-18 12:00:00 am,21.5
24-Mar-18 12:00:00 am,22.5
25-Mar-18 12:00:00 am,21.0
26-Mar-18 12:00:00 am,18.8
27-Mar-18 12:00:00 am,19.9
28-Mar-18 12:00:00 am,21.4
29-Mar-18 12:00:00 am,21.4
30-Mar-18 12:00:00 am,21.4
31-Mar-18 12:00:00 am,21.5
01-Apr-18 12:00:00 am,19.5
02-Apr-18 12:00:00 am,21.3
03-Apr-18 12:00:00 am,21.0
04-Apr-18 12:00:00 am,21.0
05-Apr-18 12:00:00 am,20.6
06-Apr-18 12:00:00 am,21.2
07-Apr-18 12:00:00 am,20.8
08-Apr-18 12:00:00 am,19.7
09-Apr-18 12:00:00 am,20.9
10-Apr-18 12:00:00 am,21.1
11-Apr-18 12:00:00 am,21.6
12-Apr-18 12:00:00 am,21.3
13-Apr-18 12:00:00 am,20.5
14-Apr-18 12:00:00 am,21.4
15-Apr-18 12:00:00 am,16.1
16-Apr-18 12:00:00 am,19.7
17-Apr-18 12:00:00 am,19.6
18-Apr-18 12:00:00 am,19.5
19-Apr-18 12:00:00 am,20.4
20-Apr-18 12:00:00 am,20.4
21-Apr-18 12:00:00 am,20.6
22-Apr-18 12:00:00 am,17.9
23-Apr-18 12:00:00 am,20.0
24-Apr-18 12:00:00 am,21.8
25-Apr-18 12:00:00 am,21.5
26-Apr-18 12:00:00 am,20.2
27-Apr-18 12:00:00 am,20.3
28-Apr-18 12:00:00 am,20.2
29-Apr-18 12:00:00 am,17.0
30-Apr-18 12:00:00 am,19.1
01-May-18 12:00:00 am,19.8
02-May-18 12:00:00 am,21.0
03-May-18 12:00:00 am,21.1
04-May-18 12:00:00 am,20.1
05-May-18 12:00:00 am,20.3
06-May-18 12:00:00 am,16.9
07-May-18 12:00:00 am,19.5
08-May-18 12:00:00 am,20.0
09-May-18 12:00:00 am,19.5
10-May-18 12:00:00 am,19.4
11-May-18 12:00:00 am,19.2
12-May-18 12:00:00 am,20.5
13-May-18 12:00:00 am,15.9
14-May-18 12:00:00 am,18.8
15-May-18 12:00:00 am,19.2
16-May-18 12:00:00 am,19.3
17-May-18 12:00:00 am,19.4
18-May-18 12:00:00 am,19.8
19-May-18 12:00:00 am,20.2
20-May-18 12:00:00 am,15.1
21-May-18 12:00:00 am,19.1
22-May-18 12:00:00 am,19.8
23-May-18 12:00:00 am,19.3
24-May-18 12:00:00 am,18.0
25-May-18 12:00:00 am,17.5
26-May-18 12:00:00 am,18.7
27-May-18 12:00:00 am,18.3
28-May-18 12:00:00 am,20.6
29-May-18 12:00:00 am,21.3
30-May-18 12:00:00 am,20.2
31-May-18 12:00:00 am,15.5
01-Jun-18 12:00:00 am,19.1
02-Jun-18 12:00:00 am,19.6
03-Jun-18 12:00:00 am,13.1
04-Jun-18 12:00:00 am,19.6
05-Jun-18 12:00:00 am,20.4
06-Jun-18 12:00:00 am,19.8
07-Jun-18 12:00:00 am,20.6
08-Jun-18 12:00:00 am,21.2
09-Jun-18 12:00:00 am,20.2
10-Jun-18 12:00:00 am,14.4
11-Jun-18 12:00:00 am,19.6
12-Jun-18 12:00:00 am,20.3
13-Jun-18 12:00:00 am,20.2
14-Jun-18 12:00:00 am,20.0
15-Jun-18 12:00:00 am,20.1
16-Jun-18 12:00:00 am,19.7
17-Jun-18 12:00:00 am,12.5
18-Jun-18 12:00:00 am,19.6
19-Jun-18 12:00:00 am,19.5
20-Jun-18 12:00:00 am,19.6
21-Jun-18 12:00:00 am,19.9
22-Jun-18 12:00:00 am,19.6
23-Jun-18 12:00:00 am,19.6
24-Jun-18 12:00:00 am,13.5
25-Jun-18 12:00:00 am,19.7
26-Jun-18 12:00:00 am,20.2
27-Jun-18 12:00:00 am,19.6
28-Jun-18 12:00:00 am,19.5
29-Jun-18 12:00:00 am,19.9
30-Jun-18 12:00:00 am,19.6
01-Jul-18 12:00:00 am,12.6
02-Jul-18 12:00:00 am,18.8
03-Jul-18 12:00:00 am,19.7
04-Jul-18 12:00:00 am,20.0
05-Jul-18 12:00:00 am,20.7
06-Jul-18 12:00:00 am,21.3
07-Jul-18 12:00:00 am,20.1
08-Jul-18 12:00:00 am,12.7
09-Jul-18 12:00:00 am,19.3
10-Jul-18 12:00:00 am,19.7
11-Jul-18 12:00:00 am,19.7
12-Jul-18 12:00:00 am,19.8
13-Jul-18 12:00:00 am,20.0
14-Jul-18 12:00:00 am,19.7
15-Jul-18 12:00:00 am,12.1
16-Jul-18 12:00:00 am,19.2
17-Jul-18 12:00:00 am,19.9
18-Jul-18 12:00:00 am,19.6
19-Jul-18 12:00:00 am,20.1
20-Jul-18 12:00:00 am,20.2
21-Jul-18 12:00:00 am,19.8
22-Jul-18 12:00:00 am,13.6
23-Jul-18 12:00:00 am,18.8
24-Jul-18 12:00:00 am,19.5
25-Jul-18 12:00:00 am,19.9
26-Jul-18 12:00:00 am,20.0
27-Jul-18 12:00:00 am,20.2
28-Jul-18 12:00:00 am,20.9
29-Jul-18 12:00:00 am,14.8
30-Jul-18 12:00:00 am,19.3
31-Jul-18 12:00:00 am,19.6
01-Aug-18 12:00:00 am,19.9
02-Aug-18 12:00:00 am,19.7
03-Aug-18 12:00:00 am,20.4
04-Aug-18 12:00:00 am,20.3
05-Aug-18 12:00:00 am,19.9
06-Aug-18 12:00:00 am,20.2
07-Aug-18 12:00:00 am,19.9
08-Aug-18 12:00:00 am,19.8
09-Aug-18 12:00:00 am,20.0
10-Aug-18 12:00:00 am,20.2
11-Aug-18 12:00:00 am,21.0
12-Aug-18 12:00:00 am,12.9
13-Aug-18 12:00:00 am,19.4
14-Aug-18 12:00:00 am,20.4
15-Aug-18 12:00:00 am,20.4
16-Aug-18 12:00:00 am,20.0
17-Aug-18 12:00:00 am,20.2
18-Aug-18 12:00:00 am,20.6
19-Aug-18 12:00:00 am,11.4
20-Aug-18 12:00:00 am,18.9
21-Aug-18 12:00:00 am,19.8
22-Aug-18 12:00:00 am,19.6
23-Aug-18 12:00:00 am,19.9
24-Aug-18 12:00:00 am,20.1
25-Aug-18 12:00:00 am,20.0
26-Aug-18 12:00:00 am,13.8
27-Aug-18 12:00:00 am,19.3
28-Aug-18 12:00:00 am,19.4
29-Aug-18 12:00:00 am,19.3
30-Aug-18 12:00:00 am,19.8
31-Aug-18 12:00:00 am,20.6
01-Sep-18 12:00:00 am,20.4
02-Sep-18 12:00:00 am,13.2
03-Sep-18 12:00:00 am,19.1
04-Sep-18 12:00:00 am,19.4
05-Sep-18 12:00:00 am,20.4
06-Sep-18 12:00:00 am,21.0
07-Sep-18 12:00:00 am,20.1
08-Sep-18 12:00:00 am,20.0
09-Sep-18 12:00:00 am,16.7
10-Sep-18 12:00:00 am,19.9
11-Sep-18 12:00:00 am,21.6
12-Sep-18 12:00:00 am,21.6
13-Sep-18 12:00:00 am,21.6
14-Sep-18 12:00:00 am,21.6
15-Sep-18 12:00:00 am,21.6
16-Sep-18 12:00:00 am,20.6
17-Sep-18 12:00:00 am,19.6
18-Sep-18 12:00:00 am,20.4
19-Sep-18 12:00:00 am,20.2
20-Sep-18 12:00:00 am,19.7
21-Sep-18 12:00:00 am,20.3
22-Sep-18 12:00:00 am,19.8
23-Sep-18 12:00:00 am,15.4
24-Sep-18 12:00:00 am,18.8
25-Sep-18 12:00:00 am,20.1
26-Sep-18 12:00:00 am,19.7
27-Sep-18 12:00:00 am,21.6
28-Sep-18 12:00:00 am,22.6
29-Sep-18 12:00:00 am,19.6
30-Sep-18 12:00:00 am,17.0
01-Oct-18 12:00:00 am,19.7
02-Oct-18 12:00:00 am,20.7
03-Oct-18 12:00:00 am,22.3
04-Oct-18 12:00:00 am,20.2
05-Oct-18 12:00:00 am,20.3
06-Oct-18 12:00:00 am,20.7
07-Oct-18 12:00:00 am,19.7
08-Oct-18 12:00:00 am,21.1
09-Oct-18 12:00:00 am,21.9
10-Oct-18 12:00:00 am,20.0
11-Oct-18 12:00:00 am,19.6
12-Oct-18 12:00:00 am,20.7
13-Oct-18 12:00:00 am,21.0
14-Oct-18 12:00:00 am,20.6
15-Oct-18 12:00:00 am,21.7
16-Oct-18 12:00:00 am,22.4
17-Oct-18 12:00:00 am,21.7
18-Oct-18 12:00:00 am,21.5
19-Oct-18 12:00:00 am,21.6
20-Oct-18 12:00:00 am,21.9
21-Oct-18 12:00:00 am,16.8
22-Oct-18 12:00:00 am,20.5
23-Oct-18 12:00:00 am,21.3
24-Oct-18 12:00:00 am,20.6
25-Oct-18 12:00:00 am,20.0
26-Oct-18 12:00:00 am,20.6
27-Oct-18 12:00:00 am,20.2
28-Oct-18 12:00:00 am,15.5
29-Oct-18 12:00:00 am,18.8
30-Oct-18 12:00:00 am,19.7
31-Oct-18 12:00:00 am,21.3
01-Nov-18 12:00:00 am,20.7
02-Nov-18 12:00:00 am,21.5
03-Nov-18 12:00:00 am,20.8
04-Nov-18 12:00:00 am,18.2
05-Nov-18 12:00:00 am,21.3
06-Nov-18 12:00:00 am,21.8
07-Nov-18 12:00:00 am,20.9
08-Nov-18 12:00:00 am,20.2
09-Nov-18 12:00:00 am,20.6
10-Nov-18 12:00:00 am,20.7
11-Nov-18 12:00:00 am,17.6
12-Nov-18 12:00:00 am,20.8
13-Nov-18 12:00:00 am,22.3
14-Nov-18 12:00:00 am,22.0
15-Nov-18 12:00:00 am,20.9
16-Nov-18 12:00:00 am,20.5
17-Nov-18 12:00:00 am,20.5
18-Nov-18 12:00:00 am,18.4
19-Nov-18 12:00:00 am,21.5
20-Nov-18 12:00:00 am,22.3
21-Nov-18 12:00:00 am,21.5
22-Nov-18 12:00:00 am,20.1
23-Nov-18 12:00:00 am,20.4
24-Nov-18 12:00:00 am,20.0
25-Nov-18 12:00:00 am,17.7
26-Nov-18 12:00:00 am,20.7
27-Nov-18 12:00:00 am,21.1
28-Nov-18 12:00:00 am,21.5
29-Nov-18 12:00:00 am,21.2
30-Nov-18 12:00:00 am,21.2
01-Dec-18 12:00:00 am,22.6
02-Dec-18 12:00:00 am,22.6
03-Dec-18 12:00:00 am,22.6
04-Dec-18 12:00:00 am,22.6
05-Dec-18 12:00:00 am,22.6
06-Dec-18 12:00:00 am,22.6
07-Dec-18 12:00:00 am,22.6
08-Dec-18 12:00:00 am,22.6
09-Dec-18 12:00:00 am,22.6
