Timestamp,Bld_64_DDC_1.1_Rm_Temp(°C)
30/08/2017 15:30,21.2
30/08/2017 15:45,21.2
30/08/2017 16:00,21.3
30/08/2017 16:15,21.1
30/08/2017 16:30,21.1
30/08/2017 16:45,20.8
30/08/2017 17:00,20.7
30/08/2017 17:15,20.7
30/08/2017 17:30,20.9
30/08/2017 17:45,21.1
30/08/2017 18:00,21.1
30/08/2017 18:15,21
30/08/2017 18:30,21.3
30/08/2017 18:45,21.1
30/08/2017 19:00,20.8
30/08/2017 19:15,20.7
30/08/2017 19:30,20.8
30/08/2017 19:45,20.9
30/08/2017 20:00,20.9
30/08/2017 20:15,18.7
30/08/2017 20:30,16.6
30/08/2017 20:45,15.5
30/08/2017 21:00,14.7
30/08/2017 21:15,14.2
30/08/2017 21:30,13.9
30/08/2017 21:45,13.5
30/08/2017 22:00,13.3
30/08/2017 22:15,13.1
30/08/2017 22:30,12.9
30/08/2017 22:45,12.7
30/08/2017 23:00,12.5
30/08/2017 23:15,12.3
30/08/2017 23:30,12
30/08/2017 23:45,11.9
31/08/2017 0:00,11.7
31/08/2017 0:15,11.6
31/08/2017 0:30,11.4
31/08/2017 0:45,11.3
31/08/2017 1:00,11.3
31/08/2017 1:15,11.2
31/08/2017 1:30,11.2
31/08/2017 1:45,11.3
31/08/2017 2:00,11.4
31/08/2017 2:15,11.6
31/08/2017 2:30,11.6
31/08/2017 2:45,11.6
31/08/2017 3:00,11.5
31/08/2017 3:15,11.4
31/08/2017 3:30,11.3
31/08/2017 3:45,11.1
31/08/2017 4:00,10.9
31/08/2017 4:15,10.8
31/08/2017 4:30,10.8
31/08/2017 4:45,10.7
31/08/2017 5:00,10.5
31/08/2017 5:15,10.2
31/08/2017 5:30,10.2
31/08/2017 5:45,10.2
31/08/2017 6:00,10.1
31/08/2017 6:15,10.3
31/08/2017 6:30,10.4
31/08/2017 6:45,10.3
31/08/2017 7:00,10.1
31/08/2017 7:15,10.1
31/08/2017 7:30,10
31/08/2017 7:45,10
31/08/2017 8:00,10.2
31/08/2017 8:15,13.7
31/08/2017 8:30,17
31/08/2017 8:45,18.2
31/08/2017 9:00,18.7
31/08/2017 9:15,18.9
