Timestamp,Bld_64_DDC_1.1_S.Air_Temp(°C)
20/09/2017 15:30,23
20/09/2017 15:45,21.8
20/09/2017 16:00,21.6
20/09/2017 16:15,21.4
20/09/2017 16:30,21.6
20/09/2017 16:45,21.5
20/09/2017 17:00,21.4
20/09/2017 17:15,21.4
20/09/2017 17:30,22.9
20/09/2017 17:45,21.5
20/09/2017 18:00,21.9
20/09/2017 18:15,23.6
20/09/2017 18:30,23.9
20/09/2017 18:45,21.9
20/09/2017 19:00,22.1
20/09/2017 19:15,23.5
20/09/2017 19:30,21.3
20/09/2017 19:45,22
20/09/2017 20:00,24.4
20/09/2017 20:15,24.8
20/09/2017 20:30,22.6
20/09/2017 20:45,21.1
20/09/2017 21:00,20.2
20/09/2017 21:15,19.6
20/09/2017 21:30,19.1
20/09/2017 21:45,18.8
20/09/2017 22:00,18.4
20/09/2017 22:15,18.1
20/09/2017 22:30,17.9
20/09/2017 22:45,17.6
20/09/2017 23:00,17.4
20/09/2017 23:15,17.3
20/09/2017 23:30,17.1
20/09/2017 23:45,16.8
21/09/2017 0:00,16.7
21/09/2017 0:15,16.5
21/09/2017 0:30,16.3
21/09/2017 0:45,16
21/09/2017 1:00,15.9
21/09/2017 1:15,15.7
21/09/2017 1:30,15.6
21/09/2017 1:45,15.4
21/09/2017 2:00,15.2
21/09/2017 2:15,15.2
21/09/2017 2:30,15.1
21/09/2017 2:45,15
21/09/2017 3:00,14.8
21/09/2017 3:15,14.7
21/09/2017 3:30,14.6
21/09/2017 3:45,14.5
21/09/2017 4:00,14.5
21/09/2017 4:15,14.5
21/09/2017 4:30,14.5
21/09/2017 4:45,14.5
21/09/2017 5:00,14.5
21/09/2017 5:15,14.6
21/09/2017 5:30,14.6
21/09/2017 5:45,14.7
21/09/2017 6:00,14.7
21/09/2017 6:15,14.7
21/09/2017 6:30,14.7
21/09/2017 6:45,14.7
21/09/2017 7:00,14.8
21/09/2017 7:15,14.8
21/09/2017 7:30,14.8
21/09/2017 7:45,14.8
21/09/2017 8:00,14.8
21/09/2017 8:15,23.5
21/09/2017 8:30,23.6
21/09/2017 8:45,23.8
21/09/2017 9:00,23.6
21/09/2017 9:15,21.6
21/09/2017 9:30,23
21/09/2017 9:45,22
21/09/2017 10:00,22.9
21/09/2017 10:15,22.6
21/09/2017 10:30,23.1
21/09/2017 10:45,23.2
21/09/2017 11:00,21.8
21/09/2017 11:15,23.5
21/09/2017 11:30,22.8
21/09/2017 11:45,22.1
21/09/2017 12:00,21.7
21/09/2017 12:15,21.7
21/09/2017 12:30,21.7
21/09/2017 12:45,21.6
21/09/2017 13:00,22.2
21/09/2017 13:15,22.1
21/09/2017 13:30,22.2
21/09/2017 13:45,22.3
21/09/2017 14:00,22.5
21/09/2017 14:15,22.1
21/09/2017 14:30,21.9
21/09/2017 14:45,22
21/09/2017 15:00,21.7
21/09/2017 15:15,21.8
21/09/2017 15:30,21.6
21/09/2017 15:45,21.5
21/09/2017 16:00,21.6
21/09/2017 16:15,21.3
21/09/2017 16:30,21.1
21/09/2017 16:45,21.1
21/09/2017 17:00,20.9
21/09/2017 17:15,20.8
21/09/2017 17:30,20.8
21/09/2017 17:45,20.9
21/09/2017 18:00,21.3
21/09/2017 18:15,19.6
21/09/2017 18:30,19.4
21/09/2017 18:45,20.1
21/09/2017 19:00,19.5
21/09/2017 19:15,18.9
21/09/2017 19:30,18.7
21/09/2017 19:45,18.1
21/09/2017 20:00,19.5
21/09/2017 20:15,20.9
21/09/2017 20:30,23.8
21/09/2017 20:45,23.1
21/09/2017 21:00,23.7
21/09/2017 21:15,23.1
21/09/2017 21:30,23.1
21/09/2017 21:45,22.4
21/09/2017 22:00,22.4
21/09/2017 22:15,23.9
21/09/2017 22:30,22
21/09/2017 22:45,21.5
21/09/2017 23:00,22
21/09/2017 23:15,23.4
21/09/2017 23:30,23.3
21/09/2017 23:45,23.3
22/09/2017 0:00,21.9
22/09/2017 0:15,20.9
22/09/2017 0:30,20.2
22/09/2017 0:45,19.7
22/09/2017 1:00,19.3
22/09/2017 1:15,18.9
22/09/2017 1:30,18.7
22/09/2017 1:45,18.4
22/09/2017 2:00,18.1
22/09/2017 2:15,17.9
22/09/2017 2:30,17.7
22/09/2017 2:45,17.5
22/09/2017 3:00,17.3
22/09/2017 3:15,17.2
22/09/2017 3:30,17
22/09/2017 3:45,16.8
22/09/2017 4:00,16.7
22/09/2017 4:15,16.5
22/09/2017 4:30,16.4
22/09/2017 4:45,16.3
22/09/2017 5:00,16.2
