Timestamp,Bld_64_DDC_1.1_R.Air_Co2(ppm)
05-Nov-17 4:30:00 pm,408.2
05-Nov-17 4:45:00 pm,408.2
05-Nov-17 5:00:00 pm,406.3
05-Nov-17 5:15:00 pm,406.3
05-Nov-17 5:30:00 pm,412.1
05-Nov-17 5:45:00 pm,408.2
05-Nov-17 6:00:00 pm,408.2
05-Nov-17 6:15:00 pm,406.3
05-Nov-17 6:30:00 pm,408.2
05-Nov-17 6:45:00 pm,408.2
05-Nov-17 7:00:00 pm,410.2
05-Nov-17 7:15:00 pm,412.1
05-Nov-17 7:30:00 pm,410.2
05-Nov-17 7:45:00 pm,412.1
05-Nov-17 8:00:00 pm,412.1
05-Nov-17 8:15:00 pm,414.1
05-Nov-17 8:30:01 pm,414.1
05-Nov-17 8:45:00 pm,414.1
05-Nov-17 9:00:00 pm,414.1
05-Nov-17 9:15:00 pm,416.0
05-Nov-17 9:30:00 pm,418.0
05-Nov-17 9:45:00 pm,414.1
05-Nov-17 10:00:00 pm,418.0
05-Nov-17 10:15:00 pm,416.0
05-Nov-17 10:30:00 pm,418.0
05-Nov-17 10:45:00 pm,421.9
05-Nov-17 11:00:00 pm,423.8
05-Nov-17 11:15:01 pm,423.8
05-Nov-17 11:30:00 pm,423.8
05-Nov-17 11:45:00 pm,421.9
06-Nov-17 12:00:00 am,418.0
06-Nov-17 12:15:00 am,418.0
06-Nov-17 12:30:00 am,419.9
06-Nov-17 12:45:00 am,421.9
06-Nov-17 1:00:00 am,423.8
06-Nov-17 1:15:00 am,425.8
06-Nov-17 1:30:00 am,429.7
06-Nov-17 1:45:00 am,427.7
06-Nov-17 2:00:01 am,423.8
06-Nov-17 2:15:00 am,425.8
06-Nov-17 2:30:00 am,427.7
06-Nov-17 2:45:00 am,425.8
06-Nov-17 3:00:00 am,423.8
06-Nov-17 3:15:00 am,421.9
06-Nov-17 3:30:00 am,425.8
06-Nov-17 3:45:00 am,427.7
06-Nov-17 4:00:00 am,427.7
06-Nov-17 4:15:00 am,427.7
06-Nov-17 4:30:00 am,431.6
06-Nov-17 4:45:00 am,429.7
06-Nov-17 5:00:00 am,425.8
06-Nov-17 5:15:00 am,423.8
06-Nov-17 5:30:00 am,425.8
06-Nov-17 5:45:00 am,423.8
06-Nov-17 6:00:00 am,429.7
06-Nov-17 6:15:00 am,431.6
06-Nov-17 6:30:00 am,431.6
06-Nov-17 6:45:00 am,431.6
06-Nov-17 7:00:00 am,437.5
06-Nov-17 7:15:00 am,435.5
06-Nov-17 7:30:00 am,470.7
06-Nov-17 7:45:00 am,437.5
06-Nov-17 8:00:00 am,435.5
06-Nov-17 8:15:00 am,447.3
06-Nov-17 8:30:00 am,472.7
06-Nov-17 8:45:00 am,496.1
06-Nov-17 9:00:00 am,494.1
06-Nov-17 9:15:00 am,488.3
06-Nov-17 9:30:00 am,500.0
06-Nov-17 9:45:00 am,486.3
06-Nov-17 10:00:00 am,478.5
06-Nov-17 10:15:00 am,470.7
06-Nov-17 10:30:00 am,455.1
06-Nov-17 10:45:00 am,451.2
06-Nov-17 11:00:00 am,447.3
06-Nov-17 11:15:00 am,441.4
06-Nov-17 11:30:00 am,447.3
06-Nov-17 11:45:00 am,451.2
06-Nov-17 12:00:00 pm,439.5
06-Nov-17 12:15:00 pm,435.5
06-Nov-17 12:30:00 pm,447.3
06-Nov-17 12:45:00 pm,449.2
06-Nov-17 1:00:00 pm,439.5
06-Nov-17 1:15:00 pm,427.7
06-Nov-17 1:30:00 pm,433.6
06-Nov-17 1:45:00 pm,427.7
06-Nov-17 2:00:00 pm,423.8
06-Nov-17 2:15:00 pm,431.6
06-Nov-17 2:30:00 pm,439.5
06-Nov-17 2:45:00 pm,433.6
06-Nov-17 3:00:00 pm,421.9
06-Nov-17 3:15:00 pm,425.8
06-Nov-17 3:30:00 pm,423.8
06-Nov-17 3:45:00 pm,431.6
06-Nov-17 4:00:00 pm,421.9
06-Nov-17 4:15:00 pm,433.6
06-Nov-17 4:30:00 pm,429.7
06-Nov-17 4:45:00 pm,427.7
06-Nov-17 5:00:00 pm,421.9
06-Nov-17 5:15:00 pm,418.0
06-Nov-17 5:30:00 pm,418.0
06-Nov-17 5:45:00 pm,416.0
06-Nov-17 6:00:00 pm,419.9
06-Nov-17 6:15:00 pm,419.9
06-Nov-17 6:30:00 pm,441.4
06-Nov-17 6:45:00 pm,429.7
06-Nov-17 7:00:00 pm,429.7
06-Nov-17 7:15:00 pm,429.7
06-Nov-17 7:30:00 pm,427.7
06-Nov-17 7:45:00 pm,429.7
06-Nov-17 8:00:00 pm,435.5
06-Nov-17 8:15:00 pm,437.5
06-Nov-17 8:30:00 pm,437.5
06-Nov-17 8:45:00 pm,468.8
06-Nov-17 9:00:00 pm,427.7
06-Nov-17 9:15:00 pm,418.0
06-Nov-17 9:30:00 pm,418.0
06-Nov-17 9:45:00 pm,414.1
06-Nov-17 10:00:00 pm,418.0
06-Nov-17 10:15:00 pm,418.0
06-Nov-17 10:30:00 pm,416.0
06-Nov-17 10:45:00 pm,416.0
06-Nov-17 11:00:00 pm,416.0
06-Nov-17 11:15:00 pm,414.1
06-Nov-17 11:30:00 pm,418.0
06-Nov-17 11:45:00 pm,416.0
07-Nov-17 12:00:00 am,418.0
07-Nov-17 12:15:00 am,418.0
07-Nov-17 12:30:00 am,414.1
07-Nov-17 12:45:00 am,418.0
07-Nov-17 1:00:00 am,418.0
07-Nov-17 1:15:00 am,419.9
