"","start_temp","outside_temp","SA_temp","rate"
"1",12,10.3,11.1,0.246666666666667
"2",15.7,10.4,23,0.186666666666667
"3",18.5,10.3,23.8,0.0666666666666667
"4",19.5,10.3,24.9,0.0400000000000001
"6",12.7,10.2,12.5,0.226666666666667
"7",16.1,10.3,23.8,0.173333333333333
"8",18.7,10.7,25.4,0.0733333333333334
"10",12,9.5,12.3,0.3
"11",16.5,9.4,23.5,0.166666666666667
"12",19,9.5,22.9,0.0533333333333334
"13",19.8,9.8,23,0.0466666666666666
"15",8.7,5.4,8.6,0.366666666666667
"16",14.2,5.6,21,0.28
"17",18.4,6,23.1,0.0733333333333334
"19",10.4,10.4,9.1,0.16
"20",12.8,10.6,20.8,0.286666666666667
"21",17.1,11.1,25.4,0.0933333333333332
"22",18.5,11.2,26,0.0866666666666667
"23",19.8,11.5,25.5,0.0466666666666666
"25",12.6,11.6,11.6,0.193333333333333
"26",15.5,11.5,23,0.233333333333333
"27",19,11.5,21.4,0.0799999999999999
"29",13.4,11.5,12.9,0.193333333333333
"30",16.3,11.5,23.6,0.173333333333333
"31",18.9,11.4,23.2,0.0533333333333334
"32",19.7,11.5,23.8,0.0400000000000001
"34",10.9,7.4,10.9,0.28
"35",15.1,7.7,21.7,0.226666666666667
"36",18.5,8,23.3,0.0599999999999999
"37",19.4,8.1,25.1,0.0400000000000001
"38",20,8.3,25.1,0.0333333333333333
"40",11.8,10,11.2,0.266666666666667
"41",15.8,9.9,23.1,0.213333333333333
"42",19,9.9,22.2,0.0733333333333334
"44",11.2,8.6,10.6,0.293333333333333
"45",15.6,9,22.6,0.213333333333333
"46",18.8,9.1,21.7,0.0866666666666667
"48",10.6,8.9,9.4,0.193333333333333
"49",13.5,9,20.9,0.3
"50",18,8.9,24,0.0733333333333334
"51",19.1,9.5,25.5,0.0599999999999999
"52",20,9.8,25.4,0.0333333333333333
"54",11.9,9.2,12,0.233333333333333
"55",15.4,9.3,22.5,0.206666666666667
"56",18.5,9.1,23.6,0.0733333333333334
"57",19.6,9.4,24.6,0.0533333333333331
"59",9.7,6,10,0.286666666666667
"60",14,6.4,20.7,0.293333333333333
"61",18.4,5.9,23.5,0.0666666666666667
"63",12,11,11.2,0.213333333333333
"64",15.2,11.3,22.7,0.226666666666667
"65",18.6,11.8,23.6,0.0799999999999999
"66",19.8,11.8,23.7,0.0333333333333333
"68",13.3,10.2,12.8,0.226666666666667
"69",16.7,10.5,24,0.173333333333333
"70",19.3,10.7,22.6,0.0533333333333334
"72",9.8,6.1,9.9,0.333333333333333
"73",14.8,6.3,22.1,0.253333333333333
"74",18.6,6.6,22.6,0.0733333333333332
"76",11.6,11.4,10.8,0.153333333333333
"77",13.9,11.4,21.7,0.3
"78",18.4,11.7,23.8,0.0733333333333334
"79",19.5,11.6,24.9,0.0333333333333333
"81",12.3,10.9,12,0.213333333333333
"82",15.5,11,22.8,0.2
"83",18.5,11.1,22.3,0.0933333333333332
"84",19.9,11.2,23,0.0333333333333333
"86",12.1,10.8,11,0.213333333333333
"87",15.3,10.9,22.4,0.206666666666667
"88",18.4,10.8,22.7,0.113333333333334
"90",11.5,9.7,10.4,0.12
"91",13.3,9.8,11.8,0.133333333333333
"92",15.3,9.9,23.9,0.22
"93",18.6,10.1,23.4,0.0599999999999999
"95",9.8,6.3,10.1,0.333333333333333
"96",14.8,6.6,21.6,0.24
"97",18.4,7,23.3,0.0666666666666667
"98",19.4,7.1,24.8,0.0533333333333334
"100",10.7,8.8,9.8,0.193333333333333
"101",13.6,9.2,17,0.18
"102",16.3,9.5,21,0.0799999999999999
"103",17.5,9.8,21.9,0.0466666666666666
"104",18.2,10.1,22.4,0.0333333333333333
"106",11.3,9.2,10.8,0.233333333333333
"107",14.8,9.5,19.5,0.16
"108",17.2,9.7,21.5,0.0666666666666667
"109",18.2,10.2,22.3,0.0400000000000001
"110",18.8,10.3,22.7,0.0333333333333333
"112",12.6,12.1,12.1,0.2
"113",15.6,12.4,18,0.186666666666667
"114",18.4,12.6,21.8,0.0666666666666667
"116",13.4,11.7,12.7,0.113333333333333
"117",15.1,11.7,18.3,0.213333333333333
"118",18.3,12,22.5,0.0666666666666667
"119",19.3,12,23.4,0.0399999999999999
"120",19.9,12.2,24,0.0400000000000001
"122",10.6,7.8,10.6,0.333333333333333
"123",15.6,8.3,18.7,0.113333333333333
"124",17.3,8.5,20.2,0.0466666666666666
"126",12.4,9.8,12.5,0.306666666666667
"127",17,10,21.1,0.14
"128",19.1,10.1,22.3,0.0333333333333333
"130",13.3,12.9,12.3,0.146666666666667
"131",15.5,12.9,19.2,0.186666666666667
"132",18.3,12.9,22.9,0.0599999999999999
"133",19.2,13.1,23.8,0.0600000000000001
"134",20.1,13,24.3,0.0333333333333333
"136",12,10,11.7,0.226666666666667
"137",15.4,10.1,20.2,0.153333333333333
"138",17.7,10.1,22.1,0.0600000000000001
"139",18.6,10.6,22.8,0.0333333333333333
