"","Timestamp","Room_temp","SA_temp","Roof_temp","days"
"35",2017-06-28 00:00:00,12.5,12.1,10.2,1
"36",2017-06-28 00:15:00,12.4,12,10.4,1
"37",2017-06-28 00:30:00,12.4,12,10.1,1
"38",2017-06-28 00:45:00,12.4,11.9,10.4,1
"39",2017-06-28 01:00:00,12.4,11.8,10.4,1
"40",2017-06-28 01:15:00,12.4,11.8,10.5,1
"41",2017-06-28 01:30:00,12.3,11.7,10.5,1
"42",2017-06-28 01:45:00,12.3,11.6,10.6,1
"43",2017-06-28 02:00:00,12.3,11.6,10.3,1
"44",2017-06-28 02:15:00,12.3,11.6,10.4,1
"45",2017-06-28 02:30:00,12.2,11.5,10.5,1
"46",2017-06-28 02:45:00,12.2,11.5,10.3,1
"47",2017-06-28 03:00:00,12.2,11.5,10.3,1
"48",2017-06-28 03:15:00,12.2,11.4,10.2,1
"49",2017-06-28 03:30:00,12.1,11.4,10,1
"50",2017-06-28 03:45:00,12.1,11.4,10.2,1
"51",2017-06-28 04:00:00,12,11.3,10.1,1
"52",2017-06-28 04:15:00,12,11.2,10.2,1
"53",2017-06-28 04:30:00,12,11.2,10,1
"54",2017-06-28 04:45:00,12,11.1,10.2,1
"55",2017-06-28 05:00:00,12,11.1,10.1,1
"56",2017-06-28 05:15:00,12,11.1,10.2,1
"57",2017-06-28 05:30:00,12,11.1,10.1,1
"58",2017-06-28 05:45:00,11.9,11.1,10.3,1
"59",2017-06-28 06:00:00,12,11.1,10.3,1
"60",2017-06-28 06:15:00,15.7,23,10.4,1
"61",2017-06-28 06:30:00,18.5,23.8,10.3,1
"62",2017-06-28 06:45:00,19.5,24.9,10.3,1
"63",2017-06-28 07:00:00,20.1,25.4,10.2,1
"64",2017-06-28 07:15:00,20.5,25.7,10.4,1
"65",2017-06-28 07:30:00,20.8,24.8,10.1,1
"66",2017-06-28 07:45:00,20.8,25,10.3,1
"67",2017-06-28 08:00:00,21.2,25,10.3,1
"68",2017-06-28 08:15:00,20.9,26.5,10.3,1
"69",2017-06-28 08:30:00,20.6,27.9,10.4,1
"70",2017-06-28 08:45:00,20.5,25.1,10.7,1
"71",2017-06-28 09:00:00,20.5,24.1,10.7,1
"72",2017-06-28 09:15:00,20.9,23.4,11.2,1
"73",2017-06-28 09:30:00,20.5,20.9,11.5,1
"74",2017-06-28 09:45:00,20.9,22.4,11.7,1
"75",2017-06-28 10:00:00,20.6,22,11.7,1
"76",2017-06-28 10:15:00,21,22.6,12,1
"77",2017-06-28 10:30:00,20.9,22.6,12.1,1
"78",2017-06-28 10:45:00,20.8,22.3,12,1
"79",2017-06-28 11:00:00,20.8,22.1,12.3,1
"80",2017-06-28 11:15:00,21.1,17.9,12.4,1
"81",2017-06-28 11:30:00,21,21.7,12.7,1
"82",2017-06-28 11:45:00,20.8,23.8,12.7,1
"83",2017-06-28 12:00:00,20.9,20.9,12.9,1
"84",2017-06-28 12:15:00,21,16.9,13,1
"85",2017-06-28 12:30:00,21.2,17.1,13.1,1
"86",2017-06-28 12:45:00,21.2,20.2,13.4,1
"87",2017-06-28 13:00:00,21,20.8,13.6,1
"88",2017-06-28 13:15:00,21.5,22.2,14,1
"89",2017-06-28 13:30:00,20.7,20.8,14.1,1
"90",2017-06-28 13:45:00,20.9,22.9,14.2,1
"91",2017-06-28 14:00:00,20.8,19.9,14.2,1
"92",2017-06-28 14:15:00,21.2,18.8,14.2,1
"93",2017-06-28 14:30:00,21.2,20.8,14.3,1
"94",2017-06-28 14:45:00,21.1,23.2,14.6,1
"95",2017-06-28 15:00:00,20.7,21.6,14.1,1
"96",2017-06-28 15:15:00,20.8,22.2,14.4,1
"97",2017-06-28 15:30:00,21.2,23.6,14.4,1
"98",2017-06-28 15:45:00,20.8,20.8,14.2,1
"99",2017-06-28 16:00:00,20.9,21.3,13.9,1
"100",2017-06-28 16:15:00,20.8,21.6,13.8,1
"101",2017-06-28 16:30:00,20.7,21.4,13.6,1
"102",2017-06-28 16:45:00,20.9,21.5,13.6,1
"103",2017-06-28 17:00:00,21,25.1,13.3,1
"104",2017-06-28 17:15:00,20.9,22,13.2,1
"105",2017-06-28 17:30:00,21,21.1,13.1,1
"106",2017-06-28 17:45:00,20.8,24.4,13,1
"107",2017-06-28 18:00:00,21.2,21.6,12.8,1
"108",2017-06-28 18:15:00,21.2,21.8,12.7,1
"109",2017-06-28 18:30:00,20.9,20.9,12.7,1
"110",2017-06-28 18:45:00,21.1,21.4,12.8,1
"111",2017-06-28 19:00:00,21,21.2,12.8,1
"112",2017-06-28 19:15:00,21,24.5,12.5,1
"113",2017-06-28 19:30:00,20.9,24.7,12.7,1
"114",2017-06-28 19:45:00,21.2,25,12.3,1
"115",2017-06-28 20:00:00,20.8,25.7,12.1,1
"116",2017-06-28 20:15:00,19,23.8,12.1,1
"117",2017-06-28 20:30:00,17.3,21.1,11.6,1
"118",2017-06-28 20:45:00,16.2,19.5,11.5,1
"119",2017-06-28 21:00:00,15.5,18.5,11.5,1
"120",2017-06-28 21:15:00,15,17.7,11.3,1
"121",2017-06-28 21:30:00,14.6,17.2,11.1,1
"122",2017-06-28 21:45:00,14.3,16.7,11.1,1
"123",2017-06-28 22:00:00,14.1,16.3,11.2,1
"124",2017-06-28 22:15:00,14.1,15.9,11.2,1
"125",2017-06-28 22:30:00,14,15.6,11,1
"126",2017-06-28 22:45:00,13.7,15.2,11,1
"127",2017-06-28 23:00:00,13.7,15,11.1,1
"128",2017-06-28 23:15:00,13.6,14.6,11.2,1
"129",2017-06-28 23:30:00,13.6,14.5,11.3,1
"130",2017-06-28 23:45:00,13.6,14.2,11.2,1
"131",2017-06-29 00:00:00,13.5,14,11.2,2
